PortugÃªs,Kikongo
A,A
Abafar,V. nyema: niemenena: zima tiya
Abaixar,V. vweteka: kulula: sakidika: vokesa: manuna: yenzeka
Abaixo,Adv. ku yanda: S. yanda
Abalar,V. nikuna: ninginisa: nikuka
Abalo,S. ndikunu: ndikuka: nzakama
Abanar,V. vuvila: vemona: vemuna: vevomona: vevumuna: veva: tokanesa n'tima: tokanisa n'tima
Abandalhar,V. tumbula: bolola: veza
Abandonar, V. yeka: yekola: yekula: yambula: sisa
Abandono, S. ngyambula: nsisa: ndoza: ngyeka
Abano, S. vuvilu: vuvidilu: bunu
Abastecer, V. fula: vana: abastecer-se: kusansa
Abastecimento, S. mfula: mpana
Abater, V. kulula: kekununa: vonda: kunku-la: bondola: kendola: kenda: saka: vwteka: sakidika: zima meso: tanda
Abatido, Adj. Ayindama: akafalala: adimbukwa: zima meso: tanda
Abatimento, S. nkulula: mbwa: mbetomoka: mbotoka
Abdome, S. vumu: kifundu
Abdómen, S. vumu: kifundu
